Name,Race/Ethnicity,Gender,Employee Type,Years At Western
Joe,A,F,State Classified,06/16/2010
Jamie,S,Not Declared,Academic,11/16/2017
Jack,B,Not Declared,Professional,11/01/2022
Jerry,I,F,Professional,11/11/2015
Joe,S,Non Binary,Professional,08/27/2012
Jason,A,F,Academic,08/13/2020
Jamie,S,Non Binary,Professional,11/03/2016
Jack,W,Non Binary,Professional,08/24/2010
Jack,W,F,State Classified,04/02/2015
Jerry,S,M,Professional,08/31/2010
John,A,F,Professional,09/30/2016
Jack,A,F,Professional,07/01/2023
John,U,M,Professional,03/13/2011
John,P,M,Professional,07/27/2010
Jasmine,A,F,Professional,11/07/2017
John,U,F,State Classified,08/29/2019
Jerry,S,Not Declared,State Classified,07/18/2013
Jasmine,A,F,State Classified,10/17/2019
Jerry,S,Non Binary,Professional,11/07/2010
Jamie,P,Not Declared,State Classified,02/23/2021
Jason,A,Non Binary,Professional,08/26/2014
Jasmine,B,F,Professional,01/27/2017
John,B,M,Professional,05/21/2019
John,P,M,Professional,03/10/2021
Jerry,U,Not Declared,Professional,10/22/2017
Jerry,U,Not Declared,Professional,01/06/2013
John,U,Not Declared,Professional,05/02/2020
Jason,P,Not Declared,Professional,03/13/2018
Jerry,I,F,Academic,06/18/2016
Jamie,U,M,State Classified,12/09/2021
Jerry,U,M,State Classified,06/25/2011
Jerry,U,F,Academic,09/26/2018
John,A,Non Binary,State Classified,12/28/2010
Jerry,A,M,Academic,09/24/2023
Joe,A,M,State Classified,08/29/2018
Jamie,A,Non Binary,Professional,10/07/2010
John,W,F,Academic,11/05/2016
Joe,B,M,Academic,09/21/2021
Jason,S,Not Declared,Academic,06/23/2015
John,B,Not Declared,Academic,04/04/2011
Jerry,B,Non Binary,State Classified,11/22/2011
Joe,P,Non Binary,Professional,01/17/2019
Jamie,H,M,Professional,10/18/2014
John,S,Non Binary,Professional,09/06/2011
Jason,A,F,Professional,07/19/2010
Jack,A,Not Declared,Professional,02/03/2017
Joe,H,Non Binary,Professional,09/11/2016
Joe,U,F,State Classified,02/20/2014
Jamie,H,Non Binary,State Classified,05/13/2023
Jack,B,Not Declared,State Classified,12/09/2023
Joe,W,F,Professional,03/05/2022
Jasmine,U,F,Academic,04/30/2015
Jason,W,M,Professional,08/30/2015
Joe,P,F,State Classified,03/18/2022
Jasmine,W,F,Academic,12/21/2021
John,P,F,Academic,09/29/2022
Jack,A,F,Academic,02/20/2021
John,A,F,State Classified,09/28/2013
Jerry,A,Non Binary,Professional,11/20/2020
Jasmine,P,M,Professional,01/22/2020
John,U,Not Declared,Academic,09/07/2021
Jason,I,M,Professional,01/03/2011
Joe,W,F,Professional,12/23/2016
Jasmine,B,F,Professional,08/16/2016
Jerry,U,F,Professional,01/16/2012
Joe,P,Not Declared,Academic,12/17/2011
Jamie,U,M,Professional,03/15/2015
Jason,U,Not Declared,Professional,08/23/2013
Jasmine,H,F,Professional,07/23/2013
Jason,H,F,Academic,12/06/2022
John,W,Not Declared,Professional,12/11/2014
Jason,B,F,State Classified,08/07/2019
Jack,H,F,Professional,09/14/2017
John,B,F,Professional,02/06/2014
Joe,S,Not Declared,Academic,06/28/2011
Joe,H,F,Academic,07/20/2017
John,U,F,Academic,01/14/2016
John,S,M,Professional,09/23/2021
Jamie,H,F,Academic,02/02/2018
Jasmine,A,Non Binary,Academic,01/08/2021
Jasmine,S,Non Binary,Professional,10/05/2014
Jamie,U,F,Professional,05/26/2019
Joe,P,M,Professional,12/03/2017
Jamie,I,Not Declared,Academic,10/12/2015
Jasmine,I,F,Professional,12/02/2011
Jerry,S,Not Declared,Professional,11/22/2012
Jasmine,S,Not Declared,Professional,09/17/2017
Jerry,W,F,Professional,06/14/2014
John,S,F,Academic,10/03/2012
John,B,M,Academic,07/13/2019
Jack,H,M,Academic,03/20/2021
Jack,W,F,Professional,09/25/2013
Jack,A,Non Binary,Professional,06/19/2017
John,H,Non Binary,Professional,12/06/2010
Jasmine,S,M,Academic,12/31/2019
John,P,Non Binary,Professional,06/18/2015
Jason,P,F,Professional,04/03/2021
Jerry,W,Not Declared,Professional,05/02/2016
Jack,P,F,Academic,07/18/2022
Jamie,W,M,Professional,12/03/2010
John,W,Not Declared,Professional,02/16/2019
John,H,M,Professional,07/11/2010
Jerry,I,M,State Classified,05/30/2013
Jerry,U,F,Academic,10/05/2021
Jasmine,I,F,Professional,09/02/2018
John,I,F,State Classified,06/22/2014
Jasmine,H,M,Academic,08/25/2021
Jack,H,Non Binary,Professional,07/24/2018
Joe,A,F,Academic,10/05/2022
Jamie,A,Non Binary,Professional,03/08/2013
Jason,I,M,Professional,05/13/2022
Jason,A,F,Professional,02/09/2022
Jason,A,Not Declared,Professional,10/29/2017
Jamie,W,Not Declared,State Classified,08/09/2019
Jack,A,F,State Classified,07/12/2020
Jason,W,Non Binary,Academic,02/19/2019
Jasmine,I,F,Professional,04/20/2014
Jasmine,I,Non Binary,State Classified,11/03/2019
Jack,I,Non Binary,State Classified,01/17/2013
John,H,Not Declared,Professional,04/04/2021
Jerry,I,Not Declared,Professional,10/06/2019
Jerry,A,Not Declared,State Classified,02/21/2013
Jason,A,F,Academic,05/29/2012
Jerry,I,F,Academic,10/27/2019
Joe,P,F,Professional,03/06/2012
Jasmine,A,M,Professional,08/21/2016
John,P,F,Professional,01/02/2014
Jason,U,Not Declared,State Classified,12/31/2021
John,H,F,Professional,12/14/2015
John,W,M,Academic,05/05/2018
John,W,Not Declared,Professional,11/13/2020
Jamie,I,F,Academic,01/28/2017
Jamie,P,M,State Classified,03/21/2013
Jamie,H,Not Declared,Professional,01/01/2021
